Unidade,Segmento,Família,Código Produto,Produto Descontinuado,UF Origem,Data,Substituto Direto,Indicação,Subs. Troca Expressa
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,1950219,CAMERA IP DE VIDEO BULLET VIP 7230 AE PTZ,SC,ago.-25, - ,1950220 - CAMERA IP DE VIDEO BULLET VIP 7230 AE PTZ IR,1950220 - CAMERA IP DE VIDEO BULLET VIP 7230 AE PTZ IR
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,1950419,GRAVADOR DIG. DE VIDEO INVU 90128-M1-FT,SC,ago.-25,4950857 - GRAVADOR DIG VID INVU 91128 M1 FT,4950857 - GRAVADOR DIG VID INVU 91128 M1 FT, - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,1950487,GRAVADOR DIG. DE VIDEO INVU 90128 M2 FT,SC,ago.-25,4950856 - GRAVADOR DIG VID INVU 91128 M2 FT,4950856 - GRAVADOR DIG VID INVU 91128 M2 FT, - 
VAREJO,Comunicacao HO,Perifericos de TV,4140038,CONVERSOR DIGITAL DE TV COM GRAVADOR CD 905,SC,ago.-25,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700
VAREJO,Comunicacao HO,Perifericos de TV,4143005,CD 730,SC,ago.-25,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700
VAREJO,Comunicacao HO,Perifericos de TV,4143012,Controle Remoto IR/BT- IZYC02,SC,ago.-25, - , - , - 
COMUNICACAO,Comunicacao Corporativa,Centrais Telefonicas,4320070,IMPACTAS 94/140/220/300,SC,ago.-25, - ,4320044 - CENTRAL DIGITAL IMPACTA 140R, - 
COMUNICACAO,Comunicacao Corporativa,Gateways,4420003,CIP 92200,SC,ago.-25, - , - , - 
COMUNICACAO,Comunicacao Corporativa,Gateways,4420007,CIP 92200,SC,ago.-25, - , - , - 
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4560023,VHD 3230 D SL,AM,ago.-25, - ,"4560054 - VHD 3220 D FC+ - CÂMERA DOME, FULL COLOR INTELIGENTE (TRANSIÇÃO ENTRE IR E FULL COLOR), MICROFONE EMBUTIDO, MULTI HD®, 4X1 = HDCVI, AHD-H, HDTVI(V2.0) E ANALÓGICO, RESOLUÇÃO (FULL HD) 1080P, SENSOR 1/3"", LENTE 2,8MM, ÂNGULO DE VISÃO 112°, 20M LED, MENU OSD, INSTALAÇÃO INTERNA E EXTERNA","4560054 - VHD 3220 D FC+ - CÂMERA DOME, FULL COLOR INTELIGENTE (TRANSIÇÃO ENTRE IR E FULL COLOR), MICROFONE EMBUTIDO, MULTI HD®, 4X1 = HDCVI, AHD-H, HDTVI(V2.0) E ANALÓGICO, RESOLUÇÃO (FULL HD) 1080P, SENSOR 1/3"", LENTE 2,8MM, ÂNGULO DE VISÃO 112°, 20M LED, MENU OSD, INSTALAÇÃO INTERNA E EXTERNA"
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4560029,VHD 3240 D VF - G7,AM,ago.-25,4560152 - VHD 3240 D VF G8,4560152 - VHD 3240 D VF G8,4560152 - VHD 3240 D VF G8
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4565357,VHD 1530 B - 5MP,AM,ago.-25,4560107 - CÂMERA DE TV VHD 3530 B FULL COLOR+,4560107 - CÂMERA DE TV VHD 3530 B FULL COLOR+,4560107 - CÂMERA DE TV VHD 3530 B FULL COLOR+
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4565358,VHD 1520 D - 5MP,AM,ago.-25,4560108 - CÂMERA DE TV VHD 3520 D FULL COLOR+,4560108 - CÂMERA DE TV VHD 3520 D FULL COLOR+,4560108 - CÂMERA DE TV VHD 3520 D FULL COLOR+
SEGURANCA ELETRONICA,Captacao de Imagem,Acessorios Para CFTV,4600204,VBOX 3000 D,SC,ago.-25, - , - , - 
VAREJO,Energia HO,Smart Energy,4630017,Lâmpada LED WI-FI SMART MLS 4100,SC,ago.-25,4639000 - Lâmpada LED Wi-Fi Smart EWS 410,4639000 - Lâmpada LED Wi-Fi Smart EWS 410,4639000 - Lâmpada LED Wi-Fi Smart EWS 410
REDES,Cabos Opticos,Cabos Opticos,4830001,Cabo Óptico Drop Compacto 1km-CFOAC-BLI A/B-CM-01-FO-CO-LSZH,SC,ago.-25,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO
REDES,Cabos Opticos,Cabos Opticos,4830068,Cabo Óptico Drop Compacto 1km-CFOAC-BLI A/B-CM-01-FO-CO-LSZH,SC,ago.-25,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO
REDES,Cabos Opticos,Cabos Opticos,4830119,CABO OPT DROP COMP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH MARROM,SC,ago.-25,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO
REDES,Cabos Opticos,Cabos Opticos,4830120,CABO OPT DROP COMP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH CINZA,SC,ago.-25,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO
VAREJO,Energia HO,Smart Energy,4850004,IZY Soquete EWS 400,SC,ago.-25, - , - , - 
VAREJO,Energia HO,Smart Energy,4850032,INTERRUPTOR CONTROLADOR DIMMER SMART WI-FI EWS 252,SC,ago.-25, - , - , - 
VAREJO,Energia HO,Smart Energy,4850056,INTERRUPTOR SMART WI-FI TOUCH 3 PRETO MIS 1003,SC,ago.-25,4850018 - INTERRUPTOR SMART WI-FI TOUCH 3 PRETO EWS 1003,4850018 - INTERRUPTOR SMART WI-FI TOUCH 3 PRETO EWS 1003,4850018 - INTERRUPTOR SMART WI-FI TOUCH 3 PRETO EWS 1003
VAREJO,Energia HO,Smart Energy,4850057,INTERRUPTOR SMART WI-FI TOUCH 3 BRANCO MIS 1003,SC,ago.-25,4850017 - INTERRUPTOR SMART WI-FI TOUCH 3 BRANCO EWS 1003,4850017 - INTERRUPTOR SMART WI-FI TOUCH 3 BRANCO EWS 1003,4850017 - INTERRUPTOR SMART WI-FI TOUCH 3 BRANCO EWS 1003
VAREJO,Energia HO,Smart Energy,4850058,INTERRUPTOR SMART WI-FI TOUCH 2 BRANCO MIS 1002,SC,ago.-25,4850015 - INTERRUPTOR WI-FI TOUCH 2 BRANCA EWS 1002,4850015 - INTERRUPTOR WI-FI TOUCH 2 BRANCA EWS 1002,4850015 - INTERRUPTOR WI-FI TOUCH 2 BRANCA EWS 1002
VAREJO,Energia HO,Smart Energy,4850059,INTERRUPTOR SMART WI-FI TOUCH BRANCO MIS 1001,SC,ago.-25,4850013 - INTERRUPTOR SMART WI-FI TOUCH BRANCA EWS 1001,4850013 - INTERRUPTOR SMART WI-FI TOUCH BRANCA EWS 1001,4850013 - INTERRUPTOR SMART WI-FI TOUCH BRANCA EWS 1001
VAREJO,Energia HO,Smart Energy,4850060,INTERRUPTOR SMART WI-FI TOUCH 2 PRETO MIS 1002,SC,ago.-25,4850016 - INTERRUPTOR SMART WI-FI TOUCH 2 PRETO EWS 1002,4850016 - INTERRUPTOR SMART WI-FI TOUCH 2 PRETO EWS 1002,4850016 - INTERRUPTOR SMART WI-FI TOUCH 2 PRETO EWS 1002
VAREJO,Energia HO,Smart Energy,4850061,INTERRUPTOR SMART WI-FI TOUCH PRETO MIS 1001,SC,ago.-25,4850014 - INTERRUPTOR SMART WI-FI TOUCH PRETO EWS 1001,4850014 - INTERRUPTOR SMART WI-FI TOUCH PRETO EWS 1001,4850014 - INTERRUPTOR SMART WI-FI TOUCH PRETO EWS 1001
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4950279,CAMERA IP DE VIDEO DOME VIP 3830 D IA FT,SC,ago.-25, - ,4570023 - CAMERA IP DE VIDEO BULLET VIP 3830 IA,4570023 - CAMERA IP DE VIDEO BULLET VIP 3830 IA
SEGURANCA ELETRONICA,Captacao de Imagem,Drones,9940903,LICENÇA DJI MODIFY PERPETUO (1 DISPOSITIVO),SC,ago.-25, - , - , - 
SEGURANCA ELETRONICA,Captacao de Imagem,Drones,9940904,LICENÇA DJI TERRA PRO OVERSEAS + MODIFY PERPETUO (1 DISPOSITIVO),SC,ago.-25, - , - , - 
SEGURANCA ELETRONICA,Drones,Drones,9100287,LIC DJI TERRA UPGRADE/MAINTENANCE FEE,SC,ago.-25, - , - , - 
SEGURANCA ELETRONICA,Drones,Drones,9100306,LIC DJI TERRA PRO OVERSEAS 1Y 1DEV OFF,SC,ago.-25, - , - , - 
SEGURANCA ELETRONICA,Drones,Drones,9100302,LIC DJI TERRA EDU OVERSEAS (10DEVICES),SC,ago.-25, - , - , - 
SEGURANCA ELETRONICA,Drones,Drones,9100307,LIC DJI TERRA PRO OVERSEAS PERMANENT(1_DEVICE_OFFLINE_VERSION),SC,ago.-25, - , - , - 
SEGURANCA ELETRONICA,Drones,Drones,4300547,DRONE DJI MATRICE 3D,SC,ago.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4390194,IV 7000 HF IN BRANCO,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520008,IV 7000 HS IN BRANCO,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520017,IV 7000 ME,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520022,IV 7010 HF - BRANCO,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520023,IV 7010 HS - BRANCO,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520024,IV 7010 HS - PRETO,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520025,IV 7010 HF - PRETO,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520047,Videoporteiro IV 7010 HF HD BR,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520049,Videoporteiro IV 7010 HF HD PT,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520800,IV 7000 EA,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520804,IV 7000 HF IN PRETO,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520806,IV 7000 HS IN PRETO,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520813,Módulo Interno p/ Videoporteiro IV 7010 HF HD BR,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520815,Módulo Interno p/ Videoporteiro IV 7010 HF HD PT,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Videos Porteiros Residenciais,4520817,Módulo Externo p/ Videoporteiro IV 7010 ME HD,AM,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Controle de Acesso Residencial,4523009,EXPOSITOR IPR 1010,SC,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Controle de Acesso Residencial,4523010,EXPOSITOR IVR 1010,SC,jul.-25, - , - , - 
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4560085,VHD 1220 D MIC G8 - FULL HD - MULTI-HD®,AM,jul.-25,4560175 - VHD 1220 D MIC G9,4560175 - VHD 1220 D MIC G9,4560175 - VHD 1220 D MIC G9
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4564068,VIP 3230 B SL G3,AM,jul.-25,4900011 - CÂMERA IP BULLET VIP 3230 FC+ IA, - ,4900011 - CÂMERA IP BULLET VIP 3230 FC+ IA
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4564069,VIP 3230 D SL G3,AM,jul.-25,4900015 - CÂMERA DOME IP VIP 3230 D FC+ IA, - ,4900015 - CÂMERA DOME IP VIP 3230 D FC+ IA
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4570001,VIP 1220 D Full Color G4,AM,jul.-25,4900014 - CÂMERA IP DOME VIP 1230 D FC+, - ,4900014 - CÂMERA IP DOME VIP 1230 D FC+
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4570002,VIP 1220 B Full Color G4,AM,jul.-25,4900027 - CÂMERA IP BULLET  VIP 1230 FC+, - ,4900027 - CÂMERA IP BULLET  VIP 1230 FC+
SEGURANCA ELETRONICA,Gerenciamento de Imagem,DVR,4580760,Gravador Dig. de Vídeo MHDX 1232,AM,jul.-25,4900022 - Gravador Dig. de Vídeo MHDX 1332,4900022 - Gravador Dig. de Vídeo MHDX 1332, - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,DVR,4580762,Gravador Dig. de Vídeo MHDX 1232 c/HD 2TB,AM,jul.-25, - , - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,DVR,4580764,Gravador Dig. de Vídeo MHDX 1232 c/HD 4TB,AM,jul.-25, - , - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,4580785,Gravador Dig. de Vídeo NVD 1432 AM,AM,jul.-25, - , - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,4580806,Gravador Dig. de Vídeo NVD 1432 c/HD 4TB AM,AM,jul.-25, - , - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,DVR,4581190,GRAVADOR DIG.DE VIDEO MHDX 3104-C C/SSD 512GB,AM,jul.-25,-,"4580714 - MHDX 3104-C c/HD 1TB - GRAVADOR DIGITAL DE VÍDEO COMPACTO - 4 CANAIS + 01 IP ADICIONAL - 5M LITE, 1080p - INTELBRAS MULTI-HD® SÉRIE 3000 - MODO NVR - DETECÇÃO INTELIGENTE DE PESSOAS E VEÍCULOS, LINHA E CERCA VIRTUAL - ATÉ 01 HD - H.265+ - HDCVI + HDTVI + AHD + IP + ANALÓGICO",-
CONTROLE DE ACESSOS,Controle de Acesso Corporativo,Fechaduras Eletroimas,4671003,FS150 INOX SEM SENSOR,SC,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Corporativo,Fechaduras Eletroimas,4671037,FECHADURA ELETROIMÃ FS150 12V KIT ELITE COM SENSOR,SC,jul.-25, - ,4670022 - FECHADURA FE 22150 C/SENSOR BRANCA,4670022 - FECHADURA FE 22150 C/SENSOR BRANCA
CONTROLE DE ACESSOS,Controle de Acesso Corporativo,Fechaduras Eletroimas,4671085,FECHADURA ELETROIMÃ FS150 12V KIT ELITE SEM SENSOR,SC,jul.-25, - ,4670022 - FECHADURA FE 22150 C/SENSOR BRANCA,4670022 - FECHADURA FE 22150 C/SENSOR BRANCA
CONTROLE DE ACESSOS,Controle de Acesso Corporativo,Fechaduras Eletroimas,4671210,Suporte p/ Vidro SV 21150 D,SC,jul.-25, - ,4670021 - SUPORTE P/VIDRO SV 21/22 SERIES PRETO,4670021 - SUPORTE P/VIDRO SV 21/22 SERIES PRETO
CONTROLE DE ACESSOS,Controle de Acesso Corporativo,Fechaduras Eletroimas,4675001,ACIONADOR DE SAÍDA DE SAÍDA INOX AC2864,SC,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Corporativo,Fechaduras Eletroimas,4675005,CAIXA DE EMERGÊNCIA QUEBRA VIDRO,SC,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Corporativo,Controladores de Acesso,4681027,LEITORA VEICULAR LE 170 UHF,SC,jul.-25,4680312 - CONTROLADOR ACESSO C/LEITOR UHF EMBUTIDO SS 3710 UHF, - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Controle de Acesso Residencial,4910050,Expositor Porteiro IPR8010,SC,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Fechaduras Eletricas,4919000,Expositor Fechadura FX2000 CINZA,SC,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Fechaduras Eletricas,4919001,Expositor Fechadura FX2000 PT,SC,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Fechaduras Eletricas,4919030,Expositor Fechadura FX3000 MF,SC,jul.-25, - , - , - 
CONTROLE DE ACESSOS,Controle de Acesso Residencial,Fechaduras Eletricas,4919040,Expositor Fechadura FX500,SC,jul.-25, - , - , - 
SEGURANCA ELETRONICA,Captacao de Imagem,Drones,1981020,DRONE DJI MATRICE 30 S/BATERIA,SC,jun.-25, - , - , - 
COMUNICACAO,Comunicacao Corporativa,Conferencia e Colaboracao,4010080,Headset Bluetooth WHS 80 BT,SC,jun.-25, - , - , - 
COMUNICACAO,Comunicacao Corporativa,Conferencia e Colaboracao,4010082,Headset WHS 80 USB,SC,jun.-25, - ,4010007 - Headset WHS 60 DUO USB, - 
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4565320,VHL 1220 D G2 - FULLHD HDCVI LITE,AM,jun.-25,4560086 - VHL 1220 D G8,4560086 - VHL 1220 D G8,4560086 - VHL 1220 D G8
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4565321,VHL 1220 B G2 - FULLHD HDCVI LITE,AM,jun.-25,4560075 - VHL 1220 B G8,4560075 - VHL 1220 B G8,4560075 - VHL 1220 B G8
SEGURANCA ELETRONICA,Captacao de Imagem,Acessorios Para CFTV,4568018,VBOX 1100 E BLACK,SC,jun.-25, - ,"4568009 - VBOX 1100 E - CAIXA DE PASSAGEM P/ CÂMERAS DE CFTV, CASE PLÁSTICO, COMPATÍVEL COM MODELOS DOME E BULLET, INSTALAÇÃO INTERNA E EXTERNA (IP66).", - 
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4570012,CAMERA DE VIDEO IP BULLET VIP 3220 FC IA,AM,jun.-25,4900011 - CÂMERA IP BULLET VIP 3230 FC+ IA, - , - 
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4570013,CAMERA DE VIDEO IP DOME VIP 3220 D FC IA,AM,jun.-25,4900015 - CÂMERA DOME IP VIP 3230 D FC+ IA, - , - 
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4570030,CAMERA IP DE TV DOME VIP 1220 D FC+,AM,jun.-25,4900014 - CÂMERA IP DOME VIP 1230 D FC+, - ,4900014 - CÂMERA IP DOME VIP 1230 D FC+
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4570031,CAMERA IP DE TV BULLET VIP 1220 FC+,AM,jun.-25,4900027 - CÂMERA IP BULLET  VIP 1230 FC+, - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,4580934,Gravador Dig. de Vídeo NVD 3316-P,AM,jun.-25,4581195 - GRAVADOR DIG DE VIDEO iNVD 3016-P, - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,4580936,GRAVADOR DIG DE VIDEO iNVD 3016-P C/ HD 2TB,AM,jun.-25,4581197 - GRAVADOR DIG DE VIDEO INVD 3016-P CHD 2TB, - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,4580938,Gravador Dig. de Vídeo NVD 3316-P c/HD 4TB,AM,jun.-25,4581198 - GRAVADOR DIG DE VIDEO iNVD 3016-P C/HD 4TB, - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,4580964,Gravador Dig. de Vídeo NVD 3308-P,AM,jun.-25, - , - , - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,4581118,GRAVADOR DIG.DE VIDEO INVD 5232-16P C/HD 2TB,AM,jun.-25, - ,4581117 - GRAVADOR DIG.DE VIDEO INVD 5232-16P, - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,4581119,GRAVADOR DIG.DE VIDEO INVD 5232-16P C/HD 4TB,AM,jun.-25, - ,4581117 - GRAVADOR DIG.DE VIDEO INVD 5232-16P, - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,DVR,4581160,GRAVADOR DIG.DE VIDEO MHDX 1304 C/ SSD 512GB,AM,jun.-25, - ,4581082 - GRAVADOR DIG.DE VIDEO MHDX 1304 C/HD 1TB, - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,DVR,4581162,GRAVADOR DIG.DE VIDEO MHDX 1308 C/ SSD 512GB,AM,jun.-25, - ,4581093 - GRAVADOR DIG.DE VIDEO MHDX 1308 C/HD 1TB, - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,DVR,4581191,Gravador Dig. de Vídeo MHDX 3108-C c/SSD 512 GB,AM,jun.-25, - ,"4580717 - MHDX 3108-C c/HD 1TB - GRAVADOR DIGITAL DE VÍDEO COMPACTO - 8 CANAIS + 04 IP ADICIONAIS - 5M LITE - INTELBRAS MULTI-HD® SÉRIE 3000 - MODO NVR - NOVA VERSÃO DA DETECÇÃO INTELIGENTE DE PESSOAS E VEÍCULOS, LINHA E CERCA VIRTUAL - ATÉ 01 HD - H.265+ - HDCVI + HDTVI + AHD + IP + ANALÓGICO", - 
REDES,Redes Opticas,5G FWA,4750218,GX 3000,SC,jun.-25, - ,4750206 - ROTEADOR 5G BRANCO GX 1001C BR, - 
REDES,Redes Opticas,5G FWA,4750219,GX 3000,SC,jun.-25, - ,4750206 - ROTEADOR 5G BRANCO GX 1001C BR, - 
SEGURANCA ELETRONICA,Captacao de Imagem,Acessorios Para CFTV,4810043,VB 1104 WP - FULL HD - MULTI-HD®,SC,jun.-25, - , - , - 
ENERGIA,Fontes,Fontes Corporativas,4820008,"CONVERSOR AUTOMATICO AC/DC 12,8V 10A EFM 1210",SC,jun.-25,"4820079 - CONVERSOR AUTOMATICO AC/DC 12,8V 10A EFM 1210 G2","4820079 - CONVERSOR AUTOMATICO AC/DC 12,8V 10A EFM 1210 G2","4820079 - CONVERSOR AUTOMATICO AC/DC 12,8V 10A EFM 1210 G2"
ENERGIA,Fontes,Fontes Corporativas,4820030,EF 1203S,SC,jun.-25,"4820012 - CONVERSOR AUTOMATICO AC/DC 12,8V 3A EF 1203","4820012 - CONVERSOR AUTOMATICO AC/DC 12,8V 3A EF 1203","4820012 - CONVERSOR AUTOMATICO AC/DC 12,8V 3A EF 1203"
ENERGIA,Fontes,Fontes Corporativas,4820031,EF 1205S,SC,jun.-25,"4820011 - CONVERSOR AUTOMATICO AC/DC 12,8V 5A EF 1205","4820011 - CONVERSOR AUTOMATICO AC/DC 12,8V 5A EF 1205","4820011 - CONVERSOR AUTOMATICO AC/DC 12,8V 5A EF 1205"
ENERGIA,Fontes,Fontes Corporativas,4820041,FA 1220S mini,SC,jun.-25,4676010 - FONTE ALIMEN. AC/DC ININTER. 2A-FA1220S,4676010 - FONTE ALIMEN. AC/DC ININTER. 2A-FA1220S,4676010 - FONTE ALIMEN. AC/DC ININTER. 2A-FA1220S
ENERGIA,Fontes,Fontes Corporativas,4820123,TRANSFORMADOR AC/AC 24V 3A EFS 2403,MG,jun.-25, - , - , - 
ENERGIA,Nobreaks,Nobreak Baixa Potencia,4822018,GNB 1000VA-120V,SC,jun.-25,4822019 - NOBREAK GNB 1000VA-220V,4822019 - NOBREAK GNB 1000VA-220V,4822019 - NOBREAK GNB 1000VA-220V
ENERGIA,Nobreaks,Nobreak Baixa Potencia,4822020,GNB 1500VA-120V,SC,jun.-25,4822021 - Nobreak GNB 1500VA-220V,4822021 - Nobreak GNB 1500VA-220V,4822021 - Nobreak GNB 1500VA-220V
ENERGIA,Nobreaks,Nobreak Baixa Potencia,4822040,SNB 3000VA-120V-RT,SC,jun.-25,4822042 - Nobreak SENOIDAL RACK/TORRE SNB 3000VA-BI-RT,4822042 - Nobreak SENOIDAL RACK/TORRE SNB 3000VA-BI-RT,4822042 - Nobreak SENOIDAL RACK/TORRE SNB 3000VA-BI-RT
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840001,Cabo Negativo,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840002,Cabo Positivo,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840006,Estrutura Fix Cerâmica,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840007,Estrutura Fix Metálica,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840008,Estrutura Fix Fibrocimento,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840009,Grampo Intermediário,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840010,Chapa Metálica,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840011,Perfil Metálico,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840015,"Inversor 3,3",SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840033,SHOW ROOM SOLAR,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4840034,TREINAMENTO SOLAR,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4841031,Inversor EGT 3000 LITE,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4841034,Inversor EGT 3600 PRO,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4841036,Inversor EGT 4600 PRO,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4841038,Inversor EGT 6000 PRO,SC e PE,jun.-25, - , - , - 
ENERGIA SOLAR,Solar On Grid,Gerador Fotovoltaico On Grid,4841050,Inversor EGT 50000 MAX,SC e PE,jun.-25, - , - , - 
